overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
1,Ja’Marr Chase (10),Ja’Marr Chase,10,WR1,WR,CIN,1 (1.1),1.1,1 (1.1),1.1,3 (1.3),1.3
2,Bijan Robinson (5),Bijan Robinson,5,RB1,RB,ATL,1 (1.1),1.1,2 (1.2),1.2,5 (1.5),1.5
3,Jahmyr Gibbs (8),Jahmyr Gibbs,8,RB2,RB,DET,1 (1.1),1.1,4 (1.4),1.4,7 (1.7),1.7
4,Justin Jefferson (6),Justin Jefferson,6,WR2,WR,MIN,2 (1.2),1.2,5 (1.5),1.5,9 (1.9),1.9
5,CeeDee Lamb (10),CeeDee Lamb,10,WR3,WR,DAL,3 (1.3),1.3,6 (1.6),1.6,9 (1.9),1.9
6,Saquon Barkley (9),Saquon Barkley,9,RB3,RB,PHI,2 (1.2),1.2,6 (1.6),1.6,10 (1.10),1.10
7,Brock Bowers (8),Brock Bowers,8,TE1,TE,LV,1 (1.1),1.1,6 (1.6),1.6,14 (2.2),2.2
8,Christian McCaffrey (14),Christian McCaffrey,14,RB4,RB,SF,2 (1.2),1.2,9 (1.9),1.9,16 (2.4),2.4
9,Malik Nabers (14),Malik Nabers,14,WR4,WR,NYG,4 (1.4),1.4,10 (1.10),1.10,16 (2.4),2.4
10,Puka Nacua (8),Puka Nacua,8,WR5,WR,LAR,3 (1.3),1.3,11 (1.11),1.11,17 (2.5),2.5
11,Ashton Jeanty (8),Ashton Jeanty,8,RB5,RB,LV,4 (1.4),1.4,11 (1.11),1.11,19 (2.7),2.7
12,De’Von Achane (12),De’Von Achane,12,RB6,RB,MIA,4 (1.4),1.4,13 (2.1),2.1,18 (2.6),2.6
13,Amon-Ra St. Brown (8),Amon-Ra St. Brown,8,WR6,WR,DET,2 (1.2),1.2,13 (2.1),2.1,19 (2.7),2.7
14,Trey McBride (8),Trey McBride,8,TE2,TE,ARI,5 (1.5),1.5,13 (2.1),2.1,21 (2.9),2.9
15,Nico Collins (6),Nico Collins,6,WR7,WR,HOU,10 (1.10),1.10,15 (2.3),2.3,21 (2.9),2.9
16,Brian Thomas (8),Brian Thomas,8,WR8,WR,JAC,8 (1.8),1.8,15 (2.3),2.3,20 (2.8),2.8
17,Derrick Henry (7),Derrick Henry,7,RB7,RB,BAL,7 (1.7),1.7,16 (2.4),2.4,21 (2.9),2.9
18,Drake London (5),Drake London,5,WR9,WR,ATL,7 (1.7),1.7,18 (2.6),2.6,23 (2.11),2.11
19,Ladd McConkey (12),Ladd McConkey,12,WR10,WR,LAC,14 (2.2),2.2,20 (2.8),2.8,27 (3.3),3.3
20,A.J. Brown (9),A.J. Brown,9,WR11,WR,PHI,14 (2.2),2.2,22 (2.10),2.10,29 (3.5),3.5
21,Bucky Irving (9),Bucky Irving,9,RB8,RB,TB,16 (2.4),2.4,22 (2.10),2.10,30 (3.6),3.6
22,Jonathan Taylor (11),Jonathan Taylor,11,RB9,RB,IND,12 (1.12),1.12,23 (2.11),2.11,31 (3.7),3.7
23,Josh Jacobs (5),Josh Jacobs,5,RB10,RB,GB,12 (1.12),1.12,24 (2.12),2.12,33 (3.9),3.9
24,George Kittle (14),George Kittle,14,TE3,TE,SF,13 (2.1),2.1,24 (2.12),2.12,37 (4.1),4.1
25,Chase Brown (10),Chase Brown,10,RB11,RB,CIN,13 (2.1),2.1,25 (3.1),3.1,34 (3.10),3.10
26,Tyreek Hill (12),Tyreek Hill,12,WR12,WR,MIA,13 (2.1),2.1,27 (3.3),3.3,37 (4.1),4.1
27,Garrett Wilson (9),Garrett Wilson,9,WR13,WR,NYJ,20 (2.8),2.8,28 (3.4),3.4,38 (4.2),4.2
28,Kyren Williams (8),Kyren Williams,8,RB12,RB,LAR,18 (2.6),2.6,29 (3.5),3.5,40 (4.4),4.4
29,Tee Higgins (10),Tee Higgins,10,WR14,WR,CIN,11 (1.11),1.11,30 (3.6),3.6,40 (4.4),4.4
30,Lamar Jackson (7),Lamar Jackson,7,QB1,QB,BAL,19 (2.7),2.7,32 (3.8),3.8,45 (4.9),4.9
31,Breece Hall (9),Breece Hall,9,RB13,RB,NYJ,23 (2.11),2.11,32 (3.8),3.8,43 (4.7),4.7
32,Jaxon Smith-Njigba (8),Jaxon Smith-Njigba,8,WR15,WR,SEA,23 (2.11),2.11,32 (3.8),3.8,40 (4.4),4.4
33,Davante Adams (8),Davante Adams,8,WR16,WR,LAR,22 (2.10),2.10,34 (3.10),3.10,46 (4.10),4.10
34,Josh Allen (7),Josh Allen,7,QB2,QB,BUF,23 (2.11),2.11,35 (3.11),3.11,44 (4.8),4.8
35,Marvin Harrison (8),Marvin Harrison,8,WR17,WR,ARI,14 (2.2),2.2,36 (3.12),3.12,48 (4.12),4.12
36,Rashee Rice (10),Rashee Rice,10,WR18,WR,KC,15 (2.3),2.3,36 (3.12),3.12,64 (6.4),6.4
37,Omarion Hampton (12),Omarion Hampton,12,RB14,RB,LAC,22 (2.10),2.10,37 (4.1),4.1,55 (5.7),5.7
38,Kenneth Walker (8),Kenneth Walker,8,RB15,RB,SEA,15 (2.3),2.3,37 (4.1),4.1,48 (4.12),4.12
39,James Cook (7),James Cook,7,RB16,RB,BUF,25 (3.1),3.1,38 (4.2),4.2,52 (5.4),5.4
40,Jayden Daniels (12),Jayden Daniels,12,QB3,QB,WAS,29 (3.5),3.5,40 (4.4),4.4,51 (5.3),5.3
41,Alvin Kamara (11),Alvin Kamara,11,RB17,RB,NO,27 (3.3),3.3,41 (4.5),4.5,54 (5.6),5.6
42,Mike Evans (9),Mike Evans,9,WR19,WR,TB,29 (3.5),3.5,42 (4.6),4.6,55 (5.7),5.7
43,Terry McLaurin (12),Terry McLaurin,12,WR20,WR,WAS,30 (3.6),3.6,42 (4.6),4.6,61 (6.1),6.1
44,DK Metcalf (5),DK Metcalf,5,WR21,WR,PIT,29 (3.5),3.5,45 (4.9),4.9,58 (5.10),5.10
45,Xavier Worthy (10),Xavier Worthy,10,WR22,WR,KC,34 (3.10),3.10,47 (4.11),4.11,65 (6.5),6.5
46,Chuba Hubbard (14),Chuba Hubbard,14,RB18,RB,CAR,34 (3.10),3.10,47 (4.11),4.11,60 (5.12),5.12
47,DJ Moore (5),DJ Moore,5,WR23,WR,CHI,35 (3.11),3.11,47 (4.11),4.11,60 (5.12),5.12
48,Jalen Hurts (9),Jalen Hurts,9,QB4,QB,PHI,37 (4.1),4.1,48 (4.12),4.12,65 (6.5),6.5
49,Joe Burrow (10),Joe Burrow,10,QB5,QB,CIN,7 (1.7),1.7,50 (5.2),5.2,68 (6.8),6.8
50,Sam LaPorta (8),Sam LaPorta,8,TE4,TE,DET,31 (3.7),3.7,50 (5.2),5.2,67 (6.7),6.7
51,Tetairoa McMillan (14),Tetairoa McMillan,14,WR24,WR,CAR,34 (3.10),3.10,50 (5.2),5.2,64 (6.4),6.4
52,Courtland Sutton (12),Courtland Sutton,12,WR25,WR,DEN,37 (4.1),4.1,52 (5.4),5.4,65 (6.5),6.5
53,James Conner (8),James Conner,8,RB19,RB,ARI,39 (4.3),4.3,54 (5.6),5.6,71 (6.11),6.11
54,RJ Harvey (12),RJ Harvey,12,RB20,RB,DEN,36 (3.12),3.12,56 (5.8),5.8,71 (6.11),6.11
55,DeVonta Smith (9),DeVonta Smith,9,WR26,WR,PHI,46 (4.10),4.10,56 (5.8),5.8,70 (6.10),6.10
56,Jameson Williams (8),Jameson Williams,8,WR27,WR,DET,41 (4.5),4.5,57 (5.9),5.9,72 (6.12),6.12
57,TreVeyon Henderson (14),TreVeyon Henderson,14,RB21,RB,NE,37 (4.1),4.1,57 (5.9),5.9,76 (7.4),7.4
58,George Pickens (10),George Pickens,10,WR28,WR,DAL,41 (4.5),4.5,58 (5.10),5.10,71 (6.11),6.11
59,Joe Mixon (6),Joe Mixon,6,RB22,RB,HOU,42 (4.6),4.6,60 (5.12),5.12,106 (9.10),9.10
60,D’Andre Swift (5),D’Andre Swift,5,RB23,RB,CHI,42 (4.6),4.6,61 (6.1),6.1,78 (7.6),7.6
61,Zay Flowers (7),Zay Flowers,7,WR29,WR,BAL,36 (3.12),3.12,61 (6.1),6.1,74 (7.2),7.2
62,T.J. Hockenson (6),T.J. Hockenson,6,TE5,TE,MIN,40 (4.4),4.4,61 (6.1),6.1,79 (7.7),7.7
63,Travis Kelce (10),Travis Kelce,10,TE6,TE,KC,40 (4.4),4.4,62 (6.2),6.2,93 (8.9),8.9
64,Calvin Ridley (10),Calvin Ridley,10,WR30,WR,TEN,50 (5.2),5.2,64 (6.4),6.4,81 (7.9),7.9
65,Jaylen Waddle (12),Jaylen Waddle,12,WR31,WR,MIA,49 (5.1),5.1,64 (6.4),6.4,76 (7.4),7.4
66,Travis Hunter (8),Travis Hunter,8,WR32,WR,JAC,46 (4.10),4.10,66 (6.6),6.6,83 (7.11),7.11
67,Kaleb Johnson (5),Kaleb Johnson,5,RB24,RB,PIT,51 (5.3),5.3,67 (6.7),6.7,84 (7.12),7.12
68,David Montgomery (8),David Montgomery,8,RB25,RB,DET,44 (4.8),4.8,70 (6.10),6.10,86 (8.2),8.2
69,Aaron Jones (6),Aaron Jones,6,RB26,RB,MIN,48 (4.12),4.12,70 (6.10),6.10,90 (8.6),8.6
70,Evan Engram (12),Evan Engram,12,TE7,TE,DEN,50 (5.2),5.2,70 (6.10),6.10,87 (8.3),8.3
71,Jerry Jeudy (9),Jerry Jeudy,9,WR33,WR,CLE,60 (5.12),5.12,72 (6.12),6.12,86 (8.2),8.2
72,Chris Olave (11),Chris Olave,11,WR34,WR,NO,53 (5.5),5.5,73 (7.1),7.1,90 (8.6),8.6
73,Rome Odunze (5),Rome Odunze,5,WR35,WR,CHI,51 (5.3),5.3,75 (7.3),7.3,92 (8.8),8.8
74,Isiah Pacheco (10),Isiah Pacheco,10,RB27,RB,KC,56 (5.8),5.8,76 (7.4),7.4,99 (9.3),9.3
75,David Njoku (9),David Njoku,9,TE8,TE,CLE,51 (5.3),5.3,76 (7.4),7.4,96 (8.12),8.12
76,Tony Pollard (10),Tony Pollard,10,RB28,RB,TEN,63 (6.3),6.3,77 (7.5),7.5,92 (8.8),8.8
77,Chris Godwin (9),Chris Godwin,9,WR36,WR,TB,56 (5.8),5.8,77 (7.5),7.5,103 (9.7),9.7
78,Jauan Jennings (14),Jauan Jennings,14,WR37,WR,SF,61 (6.1),6.1,78 (7.6),7.6,99 (9.3),9.3
