overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
1,Ja’Marr Chase (10),Ja’Marr Chase,10,WR1,WR,CIN,1 (1.1),1.1,1 (1.1),1.1,2 (1.2),1.2
2,Bijan Robinson (5),Bijan Robinson,5,RB1,RB,ATL,1 (1.1),1.1,2 (1.2),1.2,3 (1.3),1.3
3,CeeDee Lamb (10),CeeDee Lamb,10,WR2,WR,DAL,3 (1.3),1.3,4 (1.4),1.4,7 (1.7),1.7
4,Jahmyr Gibbs (8),Jahmyr Gibbs,8,RB2,RB,DET,2 (1.2),1.2,4 (1.4),1.4,6 (1.6),1.6
5,Brock Bowers (8),Brock Bowers,8,TE1,TE,LV,2 (1.2),1.2,5 (1.5),1.5,7 (1.7),1.7
6,Saquon Barkley (9),Saquon Barkley,9,RB3,RB,PHI,3 (1.3),1.3,6 (1.6),1.6,9 (1.9),1.9
7,Justin Jefferson (6),Justin Jefferson,6,WR3,WR,MIN,3 (1.3),1.3,7 (1.7),1.7,9 (1.9),1.9
8,Christian McCaffrey (14),Christian McCaffrey,14,RB4,RB,SF,5 (1.5),1.5,7 (1.7),1.7,9 (1.9),1.9
9,Trey McBride (8),Trey McBride,8,TE2,TE,ARI,8 (1.8),1.8,10 (1.10),1.10,13 (2.1),2.1
10,Ashton Jeanty (8),Ashton Jeanty,8,RB5,RB,LV,8 (1.8),1.8,11 (1.11),1.11,17 (2.5),2.5
11,Malik Nabers (14),Malik Nabers,14,WR4,WR,NYG,7 (1.7),1.7,11 (1.11),1.11,15 (2.3),2.3
12,Nico Collins (6),Nico Collins,6,WR5,WR,HOU,8 (1.8),1.8,12 (1.12),1.12,16 (2.4),2.4
13,Amon-Ra St. Brown (8),Amon-Ra St. Brown,8,WR6,WR,DET,6 (1.6),1.6,13 (2.1),2.1,19 (2.7),2.7
14,Brian Thomas (8),Brian Thomas,8,WR7,WR,JAC,10 (1.10),1.10,14 (2.2),2.2,18 (2.6),2.6
15,Puka Nacua (8),Puka Nacua,8,WR8,WR,LAR,11 (1.11),1.11,15 (2.3),2.3,18 (2.6),2.6
16,Derrick Henry (7),Derrick Henry,7,RB6,RB,BAL,9 (1.9),1.9,15 (2.3),2.3,21 (2.9),2.9
17,Drake London (5),Drake London,5,WR9,WR,ATL,13 (2.1),2.1,17 (2.5),2.5,20 (2.8),2.8
18,Chase Brown (10),Chase Brown,10,RB7,RB,CIN,14 (2.2),2.2,18 (2.6),2.6,22 (2.10),2.10
19,De’Von Achane (12),De’Von Achane,12,RB8,RB,MIA,14 (2.2),2.2,18 (2.6),2.6,22 (2.10),2.10
20,Bucky Irving (9),Bucky Irving,9,RB9,RB,TB,13 (2.1),2.1,19 (2.7),2.7,23 (2.11),2.11
21,Jonathan Taylor (11),Jonathan Taylor,11,RB10,RB,IND,17 (2.5),2.5,21 (2.9),2.9,26 (3.2),3.2
22,A.J. Brown (9),A.J. Brown,9,WR10,WR,PHI,18 (2.6),2.6,21 (2.9),2.9,24 (2.12),2.12
23,Josh Jacobs (5),Josh Jacobs,5,RB11,RB,GB,13 (2.1),2.1,23 (2.11),2.11,29 (3.5),3.5
24,George Kittle (14),George Kittle,14,TE3,TE,SF,17 (2.5),2.5,24 (2.12),2.12,29 (3.5),3.5
25,Ladd McConkey (12),Ladd McConkey,12,WR11,WR,LAC,22 (2.10),2.10,25 (3.1),3.1,31 (3.7),3.7
26,Kyren Williams (8),Kyren Williams,8,RB12,RB,LAR,21 (2.9),2.9,27 (3.3),3.3,31 (3.7),3.7
27,Omarion Hampton (12),Omarion Hampton,12,RB13,RB,LAC,23 (2.11),2.11,28 (3.4),3.4,32 (3.8),3.8
28,Tee Higgins (10),Tee Higgins,10,WR12,WR,CIN,24 (2.12),2.12,29 (3.5),3.5,39 (4.3),4.3
29,Lamar Jackson (7),Lamar Jackson,7,QB1,QB,BAL,24 (2.12),2.12,31 (3.7),3.7,41 (4.5),4.5
30,Josh Allen (7),Josh Allen,7,QB2,QB,BUF,26 (3.2),3.2,31 (3.7),3.7,40 (4.4),4.4
31,Jaxon Smith-Njigba (8),Jaxon Smith-Njigba,8,WR13,WR,SEA,25 (3.1),3.1,31 (3.7),3.7,35 (3.11),3.11
32,TreVeyon Henderson (14),TreVeyon Henderson,14,RB14,RB,NE,28 (3.4),3.4,33 (3.9),3.9,39 (4.3),4.3
33,Kenneth Walker (8),Kenneth Walker,8,RB15,RB,SEA,26 (3.2),3.2,33 (3.9),3.9,41 (4.5),4.5
34,James Cook (7),James Cook,7,RB16,RB,BUF,30 (3.6),3.6,35 (3.11),3.11,41 (4.5),4.5
35,Tyreek Hill (12),Tyreek Hill,12,WR14,WR,MIA,26 (3.2),3.2,36 (3.12),3.12,46 (4.10),4.10
36,Garrett Wilson (9),Garrett Wilson,9,WR15,WR,NYJ,29 (3.5),3.5,37 (4.1),4.1,41 (4.5),4.5
37,Mike Evans (9),Mike Evans,9,WR16,WR,TB,31 (3.7),3.7,38 (4.2),4.2,44 (4.8),4.8
38,Jayden Daniels (12),Jayden Daniels,12,QB3,QB,WAS,33 (3.9),3.9,38 (4.2),4.2,45 (4.9),4.9
39,Tetairoa McMillan (14),Tetairoa McMillan,14,WR17,WR,CAR,26 (3.2),3.2,39 (4.3),4.3,45 (4.9),4.9
40,Marvin Harrison (8),Marvin Harrison,8,WR18,WR,ARI,30 (3.6),3.6,40 (4.4),4.4,47 (4.11),4.11
41,Alvin Kamara (11),Alvin Kamara,11,RB17,RB,NO,31 (3.7),3.7,41 (4.5),4.5,54 (5.6),5.6
